Baseline 100%T,,ExampleA,,ExampleB,,ExampleC,,ExampleD,,ExampleE,,ExampleF,,ExampleG,,ExampleH,,ExampleI,,ExampleJ,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
784.0064087,0.1079304069,784.0064087,-0.002703691367,784.0064087,-0.001915988512,784.0064087,-0.002760694828,784.0064087,-0.002375260694,784.0064087,-0.0005318379845,784.0064087,-0.001566430787,784.0064087,-0.001370000304,784.0064087,-0.001712135505,784.0064087,0.004330967553,784.0064087,-0.00253608427,
782.9931641,0.1076659337,782.9931641,-0.002358989557,782.9931641,-0.001318233437,782.9931641,-0.002297195373,782.9931641,-0.001647773664,782.9931641,-0.001042056945,782.9931641,-0.0006316757645,782.9931641,-0.001045620535,782.9931641,-0.0007240478881,782.9931641,0.005010050256,782.9931641,-0.002321914304,
782.0143433,0.1082100421,782.0143433,-0.003122040536,782.0143433,-0.001733329613,782.0143433,-0.003443795023,782.0143433,-0.002594447928,782.0143433,-0.0007324725739,782.0143433,-0.00170589576,782.0143433,-0.00190846296,782.0143433,-0.001274513314,782.0143433,0.003997976892,782.0143433,-0.003048736369,
781.0003052,0.1078126654,781.0003052,-0.002715421841,781.0003052,-0.001523199957,781.0003052,-0.002375260694,781.0003052,-0.001641532872,781.0003052,-0.0005430068704,781.0003052,-0.002160959644,781.0003052,-0.000895972189,781.0003052,-0.0009146746015,781.0003052,0.004455411341,781.0003052,-0.002701273188,
779.9857788,0.1076460034,779.9857788,-0.002943230793,779.9857788,-0.00141303998,779.9857788,-0.00224044011,779.9857788,-0.00148734299,779.9857788,-0.0002644222986,779.9857788,-0.001434300211,779.9857788,-0.000903773529,779.9857788,-0.0007582107792,779.9857788,0.004438909236,779.9857788,-0.002044623252,
779.0058594,0.1078984737,779.0058594,-0.002914690413,779.0058594,-0.001965004019,779.0058594,-0.002343644854,779.0058594,-0.002081052633,779.0058594,-0.0006324512069,779.0058594,-0.002448318293,779.0058594,-0.001322569093,779.0058594,-0.00103993935,779.0058594,0.004429050256,779.0058594,-0.002616833895,
777.9906616,0.1077855229,777.9906616,-0.002775459085,777.9906616,-0.00206641946,777.9906616,-0.00312836282,777.9906616,-0.001981547568,777.9906616,-0.001072476385,777.9906616,-0.00158396957,777.9906616,-0.0009175160667,777.9906616,-0.001477952581,777.9906616,0.004832752515,777.9906616,-0.002687792759,
777.0099487,0.1078971475,777.0099487,-0.002786519006,777.0099487,-0.001737351646,777.0099487,-0.002786776051,777.0099487,-0.001749366173,777.0099487,-5.943011638E-005,777.0099487,-0.001697438303,777.0099487,-0.0009456196567,777.0099487,-0.001626523794,777.0099487,0.004885551985,777.0099487,-0.002405381063,
775.9939575,0.1077514887,775.9939575,-0.003007349558,775.9939575,-0.001577882678,775.9939575,-0.002711974783,775.9939575,-0.001970570302,775.9939575,-0.0002870840253,775.9939575,-0.001222167281,775.9939575,-0.00128246285,775.9939575,-0.0008515894879,775.9939575,0.004739210941,775.9939575,-0.002483529737,
775.0125732,0.1077205017,775.0125732,-0.00308323116,775.0125732,-0.001944646006,775.0125732,-0.002678994322,775.0125732,-0.002103825798,775.0125732,0.0003227367124,775.0125732,-0.001552605652,775.0125732,-0.0013284015,775.0125732,-0.0005696353037,775.0125732,0.004352799617,775.0125732,-0.002690519672,
773.9957886,0.1081879586,773.9957886,-0.003323691664,773.9957886,-0.002058896702,773.9957886,-0.002858632943,773.9957886,-0.002318670042,773.9957886,-0.0009644748643,773.9957886,-0.001774941105,773.9957886,-0.001284062979,773.9957886,-0.001290876651,773.9957886,0.004399526399,773.9957886,-0.002730907872,
773.0136719,0.1072557271,773.0136719,-0.002780603245,773.0136719,-0.001717343926,773.0136719,-0.002402549144,773.0136719,-0.001530680573,773.0136719,0.0004904016969,773.0136719,-0.0009941767203,773.0136719,-0.0005738232867,773.0136719,-0.0008171238587,773.0136719,0.005921845324,773.0136719,-0.00178009714,
771.9960938,0.1077164561,771.9960938,-0.002994855633,771.9960938,-0.00179443066,771.9960938,-0.003401726717,771.9960938,-0.001573601156,771.9960938,-0.0003850125067,771.9960938,-0.000950372254,771.9960938,-0.00090914662,771.9960938,-0.0008818673086,771.9960938,0.004800976254,771.9960938,-0.002553789644,
771.0131836,0.1079131141,771.0131836,-0.002659029793,771.0131836,-0.00143605459,771.0131836,-0.002480801428,771.0131836,-0.001525263651,771.0131836,-0.0005808032001,771.0131836,-0.001788965426,771.0131836,-0.001073199441,771.0131836,-0.0009686074336,771.0131836,0.004959277809,771.0131836,-0.002754058456,
769.994812,0.1069669649,769.994812,-0.00259048515,769.994812,-0.00103312172,769.994812,-0.00217337464,769.994812,-0.001326956321,769.994812,0.0002807982091,769.994812,-0.0008861556416,769.994812,-7.506866041E-006,769.994812,-0.0003132625134,769.994812,0.006047743373,769.994812,-0.001840779209,
769.0112305,0.1071590483,769.0112305,-0.002639733488,769.0112305,-0.001629205886,769.0112305,-0.00226176274,769.0112305,-0.001739775296,769.0112305,-3.768833631E-005,769.0112305,-0.001086110249,769.0112305,-0.0001239243284,769.0112305,-0.0006909160875,769.0112305,0.005501164123,769.0112305,-0.001896143542,
767.9921265,0.1077461764,767.9921265,-0.003290449269,767.9921265,-0.001921039773,767.9921265,-0.002850095043,767.9921265,-0.001915163826,767.9921265,-0.0001654316002,767.9921265,-0.001392810838,767.9921265,-0.0009910775116,767.9921265,-0.001131759956,767.9921265,0.00523455115,767.9921265,-0.002839705441,
767.0077515,0.1075697243,767.0077515,-0.003094180254,767.0077515,-0.001954335487,767.0077515,-0.002812495688,767.0077515,-0.001778034726,767.0077515,-0.0004952267627,767.0077515,-0.001801545615,767.0077515,-0.001243591774,767.0077515,-0.001194184879,767.0077515,0.005496025551,767.0077515,-0.002482242882,
765.987915,0.1070261449,765.987915,-0.002427931176,765.987915,-0.0008956105448,765.987915,-0.002702507889,765.987915,-0.001322723925,765.987915,0.0003778405953,765.987915,-0.0005153426318,765.987915,0.0001081132577,765.987915,-0.000282944995,765.987915,0.006239271723,765.987915,-0.001980826026,
765.0028076,0.1077227592,765.0028076,-0.002969198395,765.0028076,-0.001537129283,765.0028076,-0.002488368424,765.0028076,-0.00194907852,765.0028076,-0.0001777484576,765.0028076,-0.001663452364,765.0028076,-0.0008002776303,765.0028076,-0.0004874180304,765.0028076,0.00564416917,765.0028076,-0.002757814014,
764.017334,0.1074265912,764.017334,-0.002261247719,764.017334,-0.001279365621,764.017334,-0.002295804908,764.017334,-0.001419748412,764.017334,0.0001819647005,764.017334,-0.001327885431,764.017334,-5.720422268E-005,764.017334,-0.0003890988301,764.017334,0.006094705313,764.017334,-0.002212317195,
762.9963379,0.1073680818,762.9963379,-0.002550341422,762.9963379,-0.001364632859,762.9963379,-0.001960056368,762.9963379,-0.001152672572,762.9963379,0.0003257158096,762.9963379,-0.0008824356482,762.9963379,-0.0004213226784,762.9963379,-0.0005136361578,762.9963379,0.006463174243,762.9963379,-0.001886452781,
